 Molekül: Angabe gleiches Atom-Teilchen Häufigkeit als Zahl,Lebewesen,beyond planet earth
1,,
2,Maus,Frau Venus
3,Elefant,JHWH
4,,
5,Wildkatze,"Orion, Satan"
6,"Bär,Elephant",JHWH
7,"Hund, Fuchs","1. Alpha Centauri, 2. Sirius"
8,Mensch Mann,Mars Mann Mensch
9,,Orion
10,Mensch Frau Mann,"1. Menschheit Erde,  2. Alpha Centauri, 3. Antares"
11,Antares,Antares
12,,
13,Mensch,"1. Drakon, Drakonis (Calvin), 2. Mensch Erde, 3. Satan, Orion, Wildkatze"
15,,
16,,
17,Mensch Centauri,Orion und Alpha Centauri
18,,
19,,Hauskatze
20,,
21,,"Orion, und entweder Sirius oder Centauri"
22,,
23,"JHWH (deutsch), Elephant",JHWH (deutsch)
24,,
25,,
26,,
27,,
28,,
29,JHWH,JHWH
30,,
