,,,,,
,,,,,
,Antares Total,"11,2",,,
,Maus ist beste,2,wie Antares,,
,Antares stark bei,"5,6,7,10",,,
,,,Japan Korea,,Omega Antares
,,,Europa,Alpha Centauri,Alpha Antares
,,,USA Amerika,Beta Centauri,Beta Antares
,,,,,
,,,Deutschland,Religion 10,Alpha Centauri
,,,USA Amerika,Scientology,Beta Centauri
,,,USA Amerika,Hollywood,Beta Antares
,,,Polen,Omega Centauri,
,,,Arabien Iran Persien,Sirius,
,,,KPop JPop,Omega Antares,
,,,Einzelperson,Orion,
,,,Deutschand,Babylon zweites Judentum 2.0,
