"Meta Physics Particle, Meta-Physik-Teilchen","poem encoding, Gedichtskodierung",Computer Analogie Analogy,,,,
30,"Bus, Bahnlinie",Computerbus,,,,
60,"Train, Bahn, Bahnhof, Railway Station",Bidge oder or Chipset,,,,
90,"marry, heiraten","Architecture of Computer: as  from Neumann or Harward Architecture, classically known historically",,,,
,,,,,,
105,universal direction as math angle,,"a task instead for us people humanity mankind: dogs, horses, dolphins, foxes, wolfs, zebras, peacocks",,,
120,"n/m Gesetze, Zentraler Hauptbahnhof aller Bahnhöfe",Chipsatz wie NForce,,Kompat Interop,Raumgesetze,Netzwerkwirkung
,,,,,,
,,,,,,
,,,,,,
u,u,,,,,
1/30,Ontology,,"Term Worlds, World of a noun, ...",,,
1/60,Thesaurus,,universal lanuage: with possibility to translate every language into every,,,
1/90,Languages interconntected,,wisdom in how languages made languages and their worlds of their terms their words created by other languages,,,
,,,,,,
meta physics coordinates starting point,,,,,,
17->...,"intelligence, IQ, emotional intelligence, all kinds of intelligence as also spiritual intelligence or cultural intelligence, and IQ as not just as a number but as all other possible kinds of math universal structures",,,,,
23->...,"Spezialintelligenz, wisdom, maturety, experience, life experience, topic master experience at young age any age, meta wisdom",,,,,
29->...,"religion, cult, roots, deep Intelligence",,,,,
41->… ,social intelligence,,,,,
,Circle=7*3=ganzer Kreis,,,,,
,Kreislaufwirtschaft 15: Primzahl mal Primzahl = im Brettspiel Monopoly eine Runde,,,,,
